"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CRHBP",-3.72713809025818,2.33530208790055,-24.8874073226749,3.3893547907439e-52,1.13796994554682e-49,108.479630461079
"LINC00885",-1.00369997884921,0.386285303140233,-24.8689733829787,3.67905192266486e-52,1.22665722854851e-49,108.397955889258
"VTCN1",-3.48700922131781,1.66164349944913,-24.8445948226798,4.10078932746186e-52,1.35784204958689e-49,108.289881421075
"ERVMER34-1",-1.53854928577567,0.659961183782721,-24.7759761419579,5.56787673292046e-52,1.83099245000669e-49,107.985307561197
"AP000757.1",-2.68097513833554,1.99744003623692,-24.7326129406173,6.75690820104496e-52,2.20688895611273e-49,107.792547952546
"SLC2A12",-2.04949366127592,1.51439330682048,-24.6403703595047,1.02064130767091e-51,3.28879399086549e-49,107.381770337251
"SLC9A2",-1.9556978104602,0.849862369368209,-24.3826842381014,3.24753425517793e-51,1.03947076439735e-48,106.228896714569
"AC079340.2",-1.75801051579123,0.64033731977385,-24.3572692245849,3.64178889261498e-51,1.15794416100815e-48,106.114763951618
"AC024022.1",-1.281973178586,0.494784534398872,-24.2578486607154,5.70545751403583e-51,1.80217385634137e-48,105.667550108065
"DUSP15",-2.29334999449975,1.78191925578273,-24.2317397656158,6.42061801891274e-51,2.01481511322901e-48,105.549911378905
"AQP6",-3.1050329227662,1.24317766215247,-24.2065488956656,7.19602937404994e-51,2.24347897601874e-48,105.436331751142
"FABP1",-6.10161022995135,3.12283666233164,-24.1730972600377,8.37330427983837e-51,2.59367151666839e-48,105.285388960558
"EGF",-4.49554113104366,2.68151168559303,-24.0148212349829,1.71800896740641e-50,5.2875029835331e-48,104.569386249243
"LINC00887",3.93719856353833,3.24404066398556,24.0066785534289,1.78286320040168e-50,5.45215464826022e-48,104.532469359418
"CWH43",-2.74381811543258,1.41823917484313,-23.9501900877616,2.30595915573903e-50,7.00719689780649e-48,104.276145113908
"XPNPEP2",-5.93307101210083,3.03767995905595,-23.9296353074136,2.53250047474868e-50,7.6471957731845e-48,104.182779619131
"ENPP6",-4.10091991689015,1.81937240919037,-23.8927104512784,2.99719155018292e-50,8.99382254421141e-48,104.014928824806
"TYRP1",-2.47404134484703,0.897171247809855,-23.8368324157971,3.86872782514539e-50,1.15369789031603e-47,103.760609034524
"UPP2",-4.41723999920043,2.31298412676935,-23.5492856868618,1.44735490727162e-49,4.28953109925464e-47,102.445911620284
"IYD",-3.41685643673249,1.58662349655708,-23.5245619345738,1.62197326555431e-49,4.77755708133703e-47,102.332403139116
"CALML3",-4.36568910576649,1.54993448213849,-23.5212975144925,1.64656054287608e-49,4.82040638930281e-47,102.317410397982
"DGCR5",3.58635875165414,3.38094529523381,23.5171663177096,1.67821438466949e-49,4.88329872950011e-47,102.298434888419
"CRYAA",-5.85565116641481,2.67447729223709,-23.4825437506756,1.96874321124246e-49,5.6941746420586e-47,102.13932401084
"PROZ",-3.98378948047351,1.65377432591648,-23.4701144180188,2.08495953868595e-49,5.99419624978382e-47,102.082168359912
"HILPDA",5.46369197138559,6.10752018101766,23.4569667629662,2.21541193092282e-49,6.33133081115872e-47,102.021689047372
"LPCAT1",3.32595803626116,5.00678584187343,23.4007849882772,2.87198872692475e-49,8.159167027048e-47,101.763014940429
"AC019181.2",-2.48959307143113,1.30673104757895,-23.3915630089371,2.99710741547948e-49,8.46453654305887e-47,101.720517975259
"HECW1",-2.18019921675304,0.893741650859745,-23.2805100148878,5.01266111599973e-49,1.40741453509578e-46,101.207944544051
"OVCH2",-2.59382800878466,1.12401289720546,-23.2377540106327,6.11276572255123e-49,1.7063145806461e-46,101.010198664836
"ODF3B",3.36957329995824,3.53948965549432,23.2109164001682,6.92427989513608e-49,1.92166778222701e-46,100.885960693252
"PFKFB4",2.6613491799131,2.61399480831007,23.1138549520026,1.08763458402086e-48,3.00112135908101e-46,100.43590143004
"NXPH2",-1.87924117958047,0.643957091903887,-23.0069940017676,1.7904589047954e-48,4.88429050778619e-46,99.9390643261523
"AFM",-5.3173114281643,2.6122961471259,-22.990362903258,1.9351300623757e-48,5.24912229123063e-46,99.8616136312325
"CNTN3",-1.72734166053769,0.830562552079577,-22.9479430538302,2.35966026948973e-48,6.36471959880568e-46,99.6639108768128
"LINC00871",-1.61572511173055,0.556976630483246,-22.9461446275782,2.37959765022859e-48,6.38263923926118e-46,99.6555241947772
"AC073172.1",-2.43738894849981,0.949926519136664,-22.8915419828884,3.07274726119616e-48,8.19604119469722e-46,99.4007032334393
"RP11-689K5.3",-1.72782839647787,0.757976934813204,-22.8838403441815,3.18565862407603e-48,8.42542498528209e-46,99.3647314205219
"PFKP",3.65722901859381,6.59871906096282,22.8832928828635,3.19384184645785e-48,8.42542498528209e-46,99.3621741305036
"STRA6",-2.96281602804861,1.13238584363634,-22.8674421888758,3.44016283130818e-48,9.02563376266494e-46,99.2881166431024
