"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NCS1",-1.26487434020599,3.75316846839296,-11.3567501072263,3.80870117447289e-27,3.12236649877027e-26,50.2494784467712
"HAVCR2",2.12656931006564,5.23662022382981,11.3522241318895,3.97373772361332e-27,3.25629440435423e-26,50.2073589005585
"GLIS1",1.65614726632299,3.2309955327987,11.349963737952,4.05880397428945e-27,3.32181510325502e-26,50.1863272761902
"ACAN",1.91142833559278,2.96651061847176,11.3464543227635,4.19447582440216e-27,3.43141199678336e-26,50.1536795468048
"SACS",1.00666673021265,2.43706230440928,11.3463870751043,4.19711912481484e-27,3.43213477112217e-26,50.1530540116618
"IL2RG",1.6595311643426,4.7191059010893,11.3447748227088,4.26098999878342e-27,3.48144482389078e-26,50.1380576103769
"TRAF3IP3",1.13560952088715,1.91498286528236,11.3433901102052,4.31661739031517e-27,3.52541829829634e-26,50.1251787625379
"CHST13",1.85517908589598,3.54010658869443,11.3392957763099,4.48535567345312e-27,3.6616949225348e-26,50.087104309473
"GLB1",-1.00401411196244,5.27942865880323,-11.3333732316006,4.74110591244498e-27,3.86886144813449e-26,50.0320443068009
"PNPLA1",-1.07594315238,0.941946427184706,-11.3295733778355,4.91277435751507e-27,4.007270526751e-26,49.9967279631464
"ZNF676",-1.04755616303873,0.671333447743015,-11.3263390928496,5.0637502653351e-27,4.12696704658714e-26,49.9666740549641
"PCDH17",1.71873127207489,3.73870026611087,11.3253856291017,5.10913171749218e-27,4.16047581988518e-26,49.9578152421529
"KCNMA1",1.71728709251891,2.80230672097089,11.3236957448299,5.19055967322691e-27,4.22325762648913e-26,49.9421153780592
"PBX1",-1.46050204543586,3.03782107863713,-11.3130064567652,5.73636544774385e-27,4.65763261146329e-26,49.842841310404
"P2RY13",1.47390817543487,2.98988770625151,11.3108854975705,5.8512632899416e-27,4.74697121230163e-26,49.823150570996
